antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Zero', 'http', 'tcp'})",frozenset({'normal'}),0.3149015560495395,0.5338599555414417,0.2977929501429025,0.9456699861338713,1.7713821318079028,1.0,0.12967961943036455,8.579788799744206,0.635629923142036,0.5404899135446687,0.8834470144498413,0.7517404878992653
"frozenset({'Zero', 'http'})",frozenset({'normal'}),0.3149015560495395,0.5338599555414417,0.2977929501429025,0.9456699861338713,1.7713821318079028,1.0,0.12967961943036455,8.579788799744206,0.635629923142036,0.5404899135446687,0.8834470144498413,0.7517404878992653
"frozenset({'High', 'Medium', 'SF'})","frozenset({'Zero', 'normal'})",0.06311527469037789,0.4732851698952048,0.052913623372499205,0.8383647798742139,1.7713734407943635,1.0,0.023042099867681184,3.25866373488959,0.46480243482614575,0.1094417077175698,0.6931257468227594,0.475082750584595
"frozenset({'Normal', 'Medium', 'tcp'})","frozenset({'Low', 'normal', 'SF'})",0.16370276278183551,0.4771752937440457,0.13833756748174023,0.8450533462657612,1.7709494966414656,1.0,0.06022265356460603,3.3742239258208975,0.5205459727454912,0.2752764612954186,0.703635555320557,0.567481335806535
frozenset({'http'}),frozenset({'normal'}),0.31768021594156876,0.5338599555414417,0.3002540489044141,0.9451455704110958,1.770399822276476,1.0,0.13065730294545258,8.497764865152256,0.6377593768154274,0.5446428571428572,0.8823219969169995,0.7537832841274008
"frozenset({'http', 'tcp'})",frozenset({'normal'}),0.31768021594156876,0.5338599555414417,0.3002540489044141,0.9451455704110958,1.770399822276476,1.0,0.13065730294545258,8.497764865152256,0.6377593768154274,0.5446428571428572,0.8823219969169995,0.7537832841274008
"frozenset({'Zero', 'Normal', 'Low', 'tcp'})",frozenset({'normal'}),0.25198475706573514,0.5338599555414417,0.23797237218164496,0.9443919344675489,1.7689881487922143,1.0,0.1034478009774106,8.3825977400083,0.5811446919698348,0.4343573395160122,0.880705238278676,0.6950749916965597
"frozenset({'Normal', 'SF', 'Low', 'tcp', 'Medium'})","frozenset({'Zero', 'normal'})",0.13873451889488728,0.4732851698952048,0.1160685932041918,0.8366237482117309,1.7676948305753524,1.0,0.05040760285869557,3.223937532778035,0.5042481145148764,0.23403233552105013,0.6898202927839268,0.5409320200422909
"frozenset({'Normal', 'Low', 'Medium', 'SF'})","frozenset({'Zero', 'normal'})",0.13873451889488728,0.4732851698952048,0.1160685932041918,0.8366237482117309,1.7676948305753524,1.0,0.05040760285869557,3.223937532778035,0.5042481145148764,0.23403233552105013,0.6898202927839268,0.5409320200422909
"frozenset({'Zero', 'Normal', 'http', 'tcp'})","frozenset({'Low', 'normal', 'SF'})",0.21240870117497618,0.4771752937440457,0.1791044776119403,0.8432068772192113,1.7670799143920115,1.0,0.0777482932349798,3.3344874888863054,0.5511673857700634,0.350855365474339,0.7001038380461901,0.6092750133538033
